"week_start","average_temp_max","average_temp_min","average_temp_mean","total_rain"
"2025-05-11",15.6,8.9,11.9,16.5
"2025-05-18",16.6,8.6,12.3,13.4
"2025-05-25",19.9,11.3,15.4,26.3
"2025-06-01",20.4,11.5,15.8,0.0
"2025-06-08",20.6,12.9,16.5,0.0
"2025-06-15",20.1,10.7,15.3,7.3
"2025-06-22",19.1,12.6,15.7,1.2
"2025-06-29",23.9,13.1,18.5,0.0
"2025-07-06",24.6,14.5,19.3,3.6
"2025-07-13",26.0,15.9,20.6,0.0
"2025-07-20",24.2,13.7,18.8,0.0
"2025-07-27",26.4,14.5,20.3,0.0
"2025-08-03",22.1,14.3,18.0,7.6
"2025-08-10",24.3,16.5,20.1,47.0
"2025-08-17",23.1,14.1,18.2,0.0
"2025-08-24",26.7,16.6,21.1,0.0
"2025-08-31",23.6,15.5,19.2,0.4
"2025-09-07",21.6,14.6,17.5,0.0
"2025-09-14",20.2,12.8,16.3,13.0
"2025-09-21",17.5,11.4,14.1,23.8
"2025-09-28",16.5,11.7,13.8,34.5
"2025-10-05",14.1,8.6,11.1,11.6
"2025-10-12",11.8,5.2,8.5,29.5
"2025-10-19",12.1,7.4,9.9,29.9
"2025-10-26",10.9,5.7,8.1,84.6
"2025-11-02",11.4,5.6,8.4,37.5
"2025-11-09",11.3,5.5,8.5,64.0
"2025-11-16",10.0,5.8,7.7,32.5
"2025-11-23",7.5,3.6,5.5,15.2
"2025-11-30",7.2,3.8,5.2,24.8
"2025-12-07",9.9,6.9,8.3,99.3
"2025-12-14",9.1,5.7,7.3,106.6
"2025-12-21",5.3,2.1,3.6,42.6
"2025-12-28",2.7,-0.2,1.0,0.0
